time,do,temperature,pressure
0.0,0.85,20.66,1022.65
1250.0,0.85,20.82,1029.18
2500.0,0.85,20.93,1028.47
3750.0,0.87,20.96,1028.54
5000.0,0.82,20.97,1028.46
6250.0,0.81,20.98,1028.52
7500.0,0.79,20.97,1028.43
8750.0,0.78,20.97,1028.46
10000.0,0.74,20.96,1028.49
11250.0,0.71,20.96,1028.52
12500.0,0.7,20.95,1028.52
13750.0,0.7,20.95,1028.5
15000.0,0.66,20.94,1028.44
16250.0,0.65,20.94,1028.47
17500.0,0.66,20.94,1028.46
18750.0,0.64,20.93,1028.45
20000.0,0.65,20.93,1028.45
21250.0,0.62,20.93,1028.42
22500.0,0.63,20.92,1028.51
23750.0,0.61,20.92,1028.4
25000.0,0.61,20.92,1028.42
26250.0,0.59,20.92,1028.54
27500.0,0.59,20.91,1028.38
28750.0,0.58,20.91,1028.55
