time,do,temperature,pressure
0.0,0.83,20.26,1026.92
1250.0,0.82,20.57,1028.62
3250.0,0.81,20.75,1028.68
4500.0,0.79,20.77,1028.76
5750.0,0.79,20.77,1028.67
7000.0,0.78,20.77,1028.7
8250.0,0.75,20.77,1028.69
9500.0,0.72,20.76,1028.64
10750.0,0.71,20.76,1028.68
12000.0,0.71,20.75,1028.7
13250.0,0.69,20.74,1028.68
14500.0,0.67,20.74,1025.5
15750.0,0.71,20.86,1027.42
17000.0,0.72,20.96,1027.63
18250.0,0.73,21.0,1027.78
19500.0,0.73,21.04,1027.16
20750.0,0.71,21.08,1026.67
22000.0,0.73,21.1,1027.15
23250.0,0.73,21.12,1027.18
24500.0,0.73,21.13,1027.33
25750.0,0.74,21.13,1027.79
27000.0,0.73,21.13,1027.46
28250.0,0.71,21.12,1028.17
29500.0,0.7,21.13,1019.94
